iter	Passed	Remaining
0	130	130398
1	130	65346
2	131	43837
3	132	33078
4	134	26698
5	135	22391
6	136	19336
7	137	17041
8	139	15332
9	140	13908
10	141	12753
11	142	11745
12	143	10910
13	145	10221
14	145	9577
15	146	9017
16	148	8561
17	149	8150
18	150	7752
19	150	7392
20	151	7083
21	152	6791
22	153	6518
23	154	6273
24	155	6073
25	156	5870
26	157	5667
27	158	5485
28	158	5321
29	159	5164
30	160	5026
31	161	4894
32	163	4790
33	164	4673
34	165	4573
35	166	4470
36	167	4365
37	168	4278
38	169	4186
39	170	4100
40	171	4015
41	172	3940
42	174	3872
43	175	3810
44	176	3748
45	177	3681
46	178	3614
47	179	3556
48	180	3506
49	181	3448
50	182	3392
51	184	3368
52	185	3320
53	186	3274
54	188	3235
55	189	3190
56	190	3146
57	191	3109
58	193	3080
59	195	3056
60	196	3027
61	197	2995
62	198	2956
63	199	2924
64	201	2897
65	202	2869
66	203	2840
67	204	2805
68	205	2777
69	207	2751
70	208	2725
71	208	2691
72	209	2663
73	211	2645
74	212	2615
75	213	2590
76	214	2567
77	215	2545
78	216	2526
79	217	2504
80	219	2488
81	220	2468
82	221	2448
83	223	2432
84	223	2409
85	225	2391
86	226	2374
87	227	2354
88	228	2335
89	228	2314
90	230	2298
91	231	2282
92	232	2268
93	233	2252
94	234	2236
95	236	2222
96	237	2212
97	239	2202
98	239	2183
99	241	2169
100	242	2155
101	243	2143
102	244	2128
103	245	2113
104	246	2099
105	246	2082
106	248	2070
107	248	2056
108	250	2044
109	251	2031
110	251	2017
111	252	2003
112	253	1992
113	254	1981
114	255	1969
115	257	1958
116	257	1946
117	258	1933
118	259	1921
119	260	1909
120	261	1897
121	261	1884
122	262	1872
123	263	1861
124	264	1849
125	265	1838
126	265	1828
127	267	1819
128	268	1810
129	269	1800
130	269	1790
131	270	1780
132	271	1770
133	272	1761
134	273	1753
135	275	1748
136	276	1741
137	277	1732
138	278	1723
139	278	1713
140	279	1705
141	280	1696
142	281	1689
143	282	1681
144	283	1673
145	284	1664
146	285	1656
147	286	1649
148	286	1639
149	288	1633
150	289	1625
151	289	1617
152	291	1611
153	292	1606
154	293	1601
155	294	1595
156	296	1592
157	298	1588
158	298	1581
159	300	1577
160	301	1572
161	302	1566
162	303	1560
163	304	1554
164	306	1550
165	307	1543
166	308	1539
167	310	1536
168	311	1532
169	313	1529
170	314	1524
171	316	1522
172	317	1519
173	319	1515
174	320	1512
175	322	1507
176	322	1501
177	324	1497
178	331	1522
179	334	1521
180	335	1519
181	337	1516
182	338	1512
183	339	1506
184	340	1502
185	342	1498
186	343	1492
187	345	1490
188	346	1484
189	347	1479
190	348	1474
191	349	1469
